scientific_name,accepted_name,nis_status,native_range,introduced_range,sources
Membranipora membranacea,,Invasive,Baltic; NE Atlantic; Mediterranean,NW Atlantic; NE Pacific; SW Atlantic; SW Pacific; South; E Indian; W Indian; SE Atlantic; SE Pacific,NEMESIS
Microporella browni,,Concern,E Indian; W Indian; South,Mediterranean,WoRMS; Harmelin et al. (2011)
Mytilus edulis,,Concern,NE Atlantic; NW Atlantic,NW Atlantic; Mediterranean; Black; Arctic; SE Pacific; SW Atlantic; SW Pacific; NE Pacific,NEMESIS; WoRMS
Mytilus galloprovincialis,,Invasive,W Indian; Mediterranean,SE Atlantic; NW Pacific; NE Atlantic; NW Atlantic; NE Pacific; SW Pacific; South; E Indian; SE Pacific,CABI
Obelia longissima,,Concern,NW Atlantic; NE Atlantic; Mediterranean,NE Pacific; South; SW Pacific; E Indian,WoRMS
Oplegnathus fasciatus,,Concern,NW Pacific,NE Pacific; Mediterranean,WoRMS; Smithsonian
Ostrea edulis,,Concern,NE Atlantic; Mediterranean; Black,NW Atlantic; NE Pacific; E Indian,CABI
Palaemon elegans,,Invasive,NE Atlantic; Mediterranean; Black,Caspian; Aral; W Indian; NW Atlantic; Baltic,NEMESIS
Paracaprella pusilla,,Concern,SW Atlantic; NW Atlantic,NE Pacific; Mediterranean; W Indian; SE Pacific,WoRMS; NEMESIS
Parasmittina egyptiaca,,Concern,W Indian,Mediterranean,WoRMS
Patinopecten yessoensis,,Invasive,NW Pacific,NE Atlantic,WoRMS
Phascolosoma scolops,,Concern,E Indian; W Indian,Mediterranean,WoRMS
Pilumnoides perlatus,,Concern,SE Atlantic,NE Atlantic; SE Atlantic,WoRMS
Pinctada imbricata radiata,,Concern,E Indian; W Indian; NW Pacific; SW Pacific; NW Atlantic; NE Pacific; SW Atlantic,Mediterranean; NE Atlantic,ITIS
Pinctada margaritifera,,Concern,NW Pacific; SW Pacific; South; E Indian; W Indian,NW Atlantic; Mediterranean,NEMESIS
Rapana venosa,,Invasive,NW Pacific,NE Atlantic; Mediterranean; Black; NW Atlantic; SW Atlantic,GISD
Sabella spallanzanii,,Invasive,NW Atlantic; NE Atlantic; Mediterranean; SE Atlantic,SW Pacific; E Indian; South,GISD
Saccostrea commercialis,Saccostrea glomerata,Concern,SW Pacific,Mediterranean,WoRMS
Schizoporella japonica,,Concern,NW Pacific,NE Pacific; NE Atlantic,NEMESIS
Semimytilus algosus,,Invasive,SE Pacific,SE Atlantic,34
Septifer bilocularis,,Concern,NW Pacific,SW Pacific; Mediterranean; NE Atlantic; NE Pacific,WoRMS
Sertularella mutsuensis,,Concern,NW Pacific,NE Pacific,WoRMS
Sphaeroma quoianum,,Invasive,SW Pacific; South,NE Pacific; NW Pacific,NEMESIS
Sphaeroma terebrans,,Concern,SE Atlantic,SW Atlantic; NW Atlantic; E Indian; W Indian; NW Pacific; SW Pacific,NEMESIS; WoRMS
Sphaerozius nitidus,,Concern,E Indian,Mediterranean,WoRMS
Spirobranchus kraussii,,Concern,E Indian; W Indian; SW Pacific; NW Pacific,Mediterranean; NW Atlantic,WoRMS
Telmatogeton japonicus,,Concern,NW Pacific; E Indian; W Indian; SW Pacific,NE Atlantic; NW Atlantic; Mediterranean,ITIS; WoRMS
Teredo navalis,,Invasive,NW Pacific,NE Atlantic; NW Atlantic; Mediterranean; Black; SW Pacific; South; E Indian; Arctic; Baltic; W Indian,WoRMS
Tricellaria inopinata,,Invasive,NE Pacific,NE Atlantic; Mediterranean,CABI
Tricellaria occidentalis,,Concern,,NW Pacific; SW Pacific,WoRMS
Tubastraea micranthus,,Concern,E Indian; W Indian; SW Pacific; NW Pacific,NW Atlantic,WoRMS
