rank,scientific_name,database,db_id,kingdom,phylum,class,order,family,genus,species,raw_name
Species,Anaerolinea thermophila,itis,959368,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,Anaerolinea thermophila,Anaerolinea thermophila
Species,Bacillus safensis,itis,959753,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus safensis,Bacillus safensis
Species,Bacillus pumilus,itis,959827,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus,Bacillus pumilus
Species,Cocleimonas flava,itis,960775,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Cocleimonas,Cocleimonas flava,Cocleimonas flava
Species,Oceanibaculum pacificum,itis,964313,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Oceanibaculum,Oceanibaculum pacificum,Oceanibaculum pacificum
Species,Pseudomonas balearica,itis,965196,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas balearica,Pseudomonas balearica
Species,Tepidamorphus gemmatus,itis,967127,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Tepidamorphus,Tepidamorphus gemmatus,Tepidamorphus gemmatus
Kingdom,Retaria,itis,969920,Chromista,,,,,,,Retaria
Genus,Nanofrustulum,itis,970002,Chromista,,Bacillariophyceae,Fragilariales,Fragilariaceae,Nanofrustulum,,Nanofrustulum
Genus,Discostella,itis,970023,Chromista,,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae,Discostella,,Discostella
Genus,Plagiogrammopsis,itis,970058,Chromista,,Bacillariophyceae,Cymatosirales,Cymatosiraceae,Plagiogrammopsis,,Plagiogrammopsis
Genus,Exuviaella,itis,9878,Chromista,,Dinophyceae,Prorocentrales,Prorocentraceae,Exuviaella,,Exuviaella
Genus,Candidatus Thiobios,eol,70645615,,Proteobacteria,Gammaproteobacteria,,,Candidatus,,Candidatus Thiobios
Genus,Abeoforma,eol,43161584,Eukaryota,,Ichthyosporea,Ichthyophonida,,Abeoforma,,Abeoforma
Genus,Acantholichen,eol,43258029,Eukaryota,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Acantholichen,,Acantholichen
Genus,Aliiglaciecola,eol,41007347,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliiglaciecola,,Aliiglaciecola
Species,Alteromonas mediterranea,eol,41007378,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,Alteromonas mediterranea
Genus,Apicoporus,eol,41015901,Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Apicoporus,,Apicoporus
Genus,Apocarchesium,eol,41019387,Eukaryota,Ciliophora,Oligohymenophorea,Sessilida,Vorticellidae,Apocarchesium,,Apocarchesium
Genus,Aporthotrochilia,eol,41027199,Eukaryota,Ciliophora,Phyllopharyngea,Dysteriida,Hartmannulidae,Aporthotrochilia,,Aporthotrochilia
Genus,Apusomonas,eol,43310296,Eukaryota,,,,Apusomonadidae,Apusomonas,,Apusomonas
Order,Ardenticatenales,eol,40990820,Bacteria,Chloroflexi,Ardenticatenia,Ardenticatenales,,,,Ardenticatenales
Class,Ardenticatenia,eol,40990819,Bacteria,Chloroflexi,Ardenticatenia,,,,,Ardenticatenia
Species,Bacillaria paxillifera,eol,80132270,,,,,,,Bacillaria paxillifera,Bacillaria paxillifera
Genus,Blastocatella,eol,41014055,Bacteria,Acidobacteria,Blastocatellia,,,Blastocatella,,Blastocatella
Class,Blastocatellaceae,eol,,Bacteria,Acidobacteria,Blastocatellia,,,,,Blastocatellaceae
Genus,Bodomorpha,eol,41074334,Eukaryota,Cercozoa,,Glissomonadida,Sandonidae,Bodomorpha,,Bodomorpha
Genus,Bolbitius,eol,43279837,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Bolbitius,,Bolbitius
Species,Bythopirellula goksoyri,eol,41013652,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Bythopirellula,Bythopirellula goksoyri,Bythopirellula goksoyri
Family,Cellvibrionaceae,eol,41006861,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,,,Cellvibrionaceae
Order,Cellvibrionales,eol,41006834,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,,,,Cellvibrionales
Genus,Chamaeota,eol,43277163,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Chamaeota,,Chamaeota
Class,Chlorarachniophyta,eol,7628499,Eukaryota,Cercozoa,Chlorarachniophyta,,,,,Chlorarachniophyta
Kingdom,Chloroplastida,eol,,Eukaryota,,,,,,,Chloroplastida
Genus,Choanocystis,eol,43311977,Eukaryota,,Centroplasthelida,,Acanthocystidae,Choanocystis,,Choanocystis
Genus,Chromosera,eol,43290877,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Chromosera,,Chromosera
Order,Chromulinales,eol,7630893,Eukaryota,,Chrysophyceae,Chromulinales,,,,Chromulinales
Genus,Chroococcidiopsis,eol,40990409,Bacteria,Cyanobacteria,,Chroococcidiopsidales,Chroococcidiopsidaceae,Chroococcidiopsis,,Chroococcidiopsis
Genus,Chytriodinium,eol,41015412,Eukaryota,Dinoflagellata,Dinophyceae,Coccidiniales,Chytriodiniaceae,Chytriodinium,,Chytriodinium
Genus,Coccodinium,eol,43230890,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Coccodiniaceae,Coccodinium,,Coccodinium
Order,Colpodellida,eol,41030739,Eukaryota,,,Colpodellida,,,,Colpodellida
Genus,Corallochytrium,eol,43310279,Eukaryota,,,,,Corallochytrium,,Corallochytrium
Genus,Creolimax,eol,43161624,Eukaryota,,Ichthyosporea,Ichthyophonida,,Creolimax,,Creolimax
Phylum,Cryptomycota,eol,43307115,Eukaryota,Cryptomycota,,,,,,Cryptomycota
Genus,Cryptoperidiniopsis,eol,41015666,Eukaryota,Dinoflagellata,Dinophyceae,Peridiniales,Pfiesteriaceae,Cryptoperidiniopsis,,Cryptoperidiniopsis
Genus,Desulfatitalea,eol,41003549,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfatitalea,,Desulfatitalea
Genus,Dexiotricha,eol,41017402,Eukaryota,Ciliophora,Oligohymenophorea,Philasterida,Loxocephalidae,Dexiotricha,,Dexiotricha
Genus,Dexitrichides,eol,41017293,Eukaryota,Ciliophora,Oligohymenophorea,Philasterida,Philasteridae,Dexitrichides,,Dexitrichides
Genus,Dictyochloropsis,eol,41093945,Eukaryota,Chlorophyta,Trebouxiophyceae,Microthamniales,,Dictyochloropsis,,Dictyochloropsis
Genus,Diplomitoporus,eol,43261231,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Diplomitoporus,,Diplomitoporus
Species,Eunicella cavolinii,eol,70611329,Metazoa,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Eunicella,Eunicella cavolinii,Eunicella cavolinii
Genus,Fabomonas,eol,43310323,Eukaryota,,,,Ancyromonadidae,Fabomonas,,Fabomonas
Genus,Fauvelopsis,eol,70604953,Metazoa,Annelida,,,,Fauvelopsis,,Fauvelopsis
Species,Fusarium redolens,eol,43210364,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium redolens,Fusarium redolens
Genus,Geosmithia,eol,43214807,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,,Geosmithia,,Geosmithia
Species,Gilvimarinus japonicus,eol,41006897,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Gilvimarinus,Gilvimarinus japonicus,Gilvimarinus japonicus
Genus,Gonostomum,eol,41023120,Eukaryota,Ciliophora,Spirotrichea,Sporadotrichida,Gonostomatidae,Gonostomum,,Gonostomum
Genus,Gymnophrys,eol,41074826,Eukaryota,Cercozoa,,,,Gymnophrys,,Gymnophrys
Genus,Gyromitus,eol,41074393,Eukaryota,Cercozoa,Imbricatea,Thaumatomonadida,Thaumatomastigidae,Gyromitus,,Gyromitus
Family,Halieaceae,eol,41006839,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,,,Halieaceae
Genus,Halobacteriovorax,eol,41006795,Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,,Halobacteriovorax
Genus,Halocrusticida,eol,41083532,Eukaryota,,,Lagenidiales,Haliphthoraceae,Halocrusticida,,Halocrusticida
Genus,Haptoglossa,eol,41084527,Eukaryota,,,,,Haptoglossa,,Haptoglossa
Genus,Haramonas,eol,41082252,Eukaryota,Ochrophyta,Raphidophyceae,,,Haramonas,,Haramonas
Genus,Heterohartmannula,eol,41027204,Eukaryota,Ciliophora,Phyllopharyngea,Dysteriida,Hartmannulidae,Heterohartmannula,,Heterohartmannula
Genus,Heteromita,eol,41074563,Eukaryota,Cercozoa,,Cercomonadida,Heteromitidae,Heteromita,,Heteromita
Genus,Ichthyophonus,eol,43161586,Eukaryota,,Ichthyosporea,Ichthyophonida,,Ichthyophonus,,Ichthyophonus
