"taxon_id","location_id","locality","occurrence_status","establishment_means","invasiveness","event_date","source","occurrence_remarks","country_code","scientific_name_id","accepted_name_usage_id","scientific_name","accepted_name_usage","taxonomic_status"
"220137","220137","Iran","Reported","Alien","Uncertain",NA,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)",NA,NA,"220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","Malaysia","Reported","Alien","Uncertain",NA,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)",NA,NA,"220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","Mexico","Reported","Alien","Uncertain",NA,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)",NA,NA,"220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","Peruvian part of the South Pacific Ocean","Reported","Alien","Uncertain",NA,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)",NA,"PE","220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","Taiwan","Reported","Alien","Uncertain",NA,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)",NA,NA,"220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","Thailand","Reported","Alien","Uncertain",NA,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)",NA,NA,"220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","United States part of the Gulf of Mexico","Reported","Alien","Uncertain",NA,"Fofonoff, P.W.; Ruiz, G.M.; Steves, B.; Carlton, J.T. (2014). National Exotic Marine and Estuarine Species Information System (NEMESIS)","Jackson County/MS/Simmons Bayou (2001, Woodley et al. 2002, collected May-December 2001)","US","220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","Brazil","Established","Alien","Invasive",NA,"Silva-Oliveira, G.C.; Ready, J.S.; Iketani, G.; Bastos, S.; Gomes, G.; Sampaio, I.; Maciel, C. (2011). The invasive status of Macrobrachium rosenbergii (De Man, 1879) in Northern Brazil, with an estimation of areas at risk globally. Aquatic Invasions 6(3): 319-328.","Location : Northern coast of Brazil<br/>Year first introduced or recorded : Cultivation started at the end of 1970s, and escapees were detected in the wild by 1998. In Para state, the species was introduced in 1995-1998 to 15 municipalities.",NA,"220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","Brazil","Established","Alien","Uncertain",NA,"Cintra, Israel Hidenburgo Aniceto; Silva, Kátia Cristina de Araújo; Muniz, Anna Paula Malcher. (2003). Ocorrência de Macrobrachium rosenbergii (De Man, 1879) em áreas estuarinas do estado do Pará (Crustacea, Decapoda, Palaemonidae). <em>Boletim tecnico-cientifico do CEPNOR.</em> 3: 219-227.","Location : In equatorial Brazil, juveniles and egg-bearing adults were collected in the states of Para, Piaui, and Maranhão.<br/>Year first introduced or recorded : 2003-2009<br/>Location : Para<br/>Year first introduced or recorded : 2003-2009<br/>Location : Piaui<br/>Year first introduced or recorded : 2003-2009<br/>Location : Maranhão<br/>Year first introduced or recorded : 2003-2009",NA,"220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","Micronesian part of the North Pacific Ocean","Reported","Alien","Uncertain","1974","Eldredge, L. G. (1994). Perspectives in aquatic exotic species management in the Pacific Islands Vol. I. Introductions of commercially significant aquatic organisms to the Pacific islands. <em>South Pacific Commission. Inshore Fisheries Research Project, Technical Document.</em> 7, 1-127.","Location : Guam<br/>Year first introduced or recorded : 1974<br/>Location : Puerto Rico","FM","220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","Venezuela","Established","Alien","Uncertain","1980","Eldredge, L. G. (1994). Perspectives in aquatic exotic species management in the Pacific Islands Vol. I. Introductions of commercially significant aquatic organisms to the Pacific islands. <em>South Pacific Commission. Inshore Fisheries Research Project, Technical Document.</em> 7, 1-127.","Location : Isla Margarita",NA,"220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
"220137","220137","Northern Mariana Islands and Guam part of the Philippine Sea","Reported","Alien","Uncertain","1965","FitzGerald, W. J.; Nelson, S. G. (1979). DEVELOPMENT OF AQUACULTURE IN AN ISLAND COMMUNITY (GUAM, MARIANA ISLANDS). <em>Proceedings of the World Mariculture Society.</em> 10: 39-50.","Location : Hawaii",NA,"220137","220137","Macrobrachium rosenbergii","Macrobrachium rosenbergii","accepted"
