Paper ID,Type,Limit,Site,Lat,Long,Certainty
999,Point,,BF-64,44.675,-124.094,1
999,Point,,BF-1,44.664,-124.063,1
999,Point,,BF-126,44.664,-124.063,1
999,Point,,BF-640,44.664,-124.063,1
999,Point,,BF-47,44.642,-124.08,1
999,Point,,BF-48,44.642,-124.08,1
999,Point,,BF-59,44.642,-124.08,1
999,Point,,BF-61,44.642,-124.08,1
999,Point,,BF-451,44.642,-124.08,1
999,Point,,BF-521,44.642,-124.08,1
999,Point,,BF-651,44.642,-124.08,1
999,Point,,BF-304,44.639,-124.076,1
82,Point,,4,44.638,-124.063,1
999,Point,,BF-410,44.638,-124.065,1
999,Point,,BF-417,44.634,-124.44,1
152,Point,,3,44.627,-8.569,1
153,Point,,1,44.625,-124.067,3
999,Point,,BF-174,44.624,-124.045,1
82,Point,,7,44.622,-124.063,1
999,Point,,BF-161,44.617,-124.07,1
999,Point,,BF-24,44.612,-124.071,1
999,Point,,BF-56,44.612,-124.071,1
999,Point,,BF-57,44.612,-124.071,1
999,Point,,BF-234,44.612,-124.071,1
999,Point,,BF-274,44.612,-124.071,1
999,Point,,BF-416,44.612,-124.071,1
999,Point,,BF-522,44.612,-124.071,1
999,Point,,BF-628,44.612,-124.071,1
999,Point,,BF-629,44.612,-124.071,1
999,Point,,BF-630,44.612,-124.071,1
999,Point,,BF-634,44.612,-124.071,1
83,Point,,9,44.606,12.572,1
999,Point,,BF-202,44.58,-124.069,1
999,Point,,BF-254,44.578,-124.071,1
999,Point,,BF-172,44.553,-124.074,1
999,Point,,BF-173,44.553,-124.074,1
999,Point,,BF-176,44.553,-124.074,1
999,Point,,BF-186,44.553,-124.074,1
999,Point,,BF-65,44.551,-124.075,1
999,Point,,BF-66,44.551,-124.075,1
999,Point,,BF-125,44.551,-124.075,1
999,Point,,BF-136,44.551,-124.075,1
999,Point,,BF-137,44.551,-124.075,1
999,Point,,BF-157,44.551,-124.075,1
82,Point,,5,44.545,-124.073,1
999,Point,,BF-201,44.526,-124.076,1
999,Point,,BF-277,44.501,-124.084,1
999,Point,,BF-258,44.483,-124.084,1
999,Point,,BF-347,44.483,-124.084,1
999,Point,,BF-348,44.483,-124.084,1
999,Point,,BF-356,44.483,-124.084,1
999,Point,,BF-531,44.483,-124.084,1
999,Point,,BF-543,44.483,-124.084,1
999,Point,,BF-544,44.483,-124.084,1
999,Point,,BF-632,44.483,-124.084,1
82,Point,,6,44.482,-124.085,1
999,Point,,BF-4,44.437,-124.09,1
999,Point,,BF-196,44.419,-124.083,1
105,Point,,1,44.417,8.75,1
105,Point,,2,44.417,8.75,1
105,Point,,3,44.4,8.767,1
105,Point,,4,44.4,8.767,1
105,Point,,5,44.4,8.767,1
999,Point,,BF-7,44.4,-125.2,1
177,Point,,18,44.335,-2.371,2
999,Point,,BF-525,44.31,-124.108,1
999,Point,,BF-344,44.302,-124.111,1
999,Point,,BF-135,44.3,-124.1,1
999,Point,,BF-225,44.26,-124.112,1
86,Point,,1,44.253,-1.375,2
999,Point,,BF-596,44.245,-124.113,1
999,Point,,BF-212,44.2,-124.1,1
100,Point,,4,44.195,9.364,1
201,Point,,45,44.183,-127.312,2
999,Point,,BF-573,44.138,-124.126,1
999,Point,,BF-574,44.138,-124.126,1
159,Point,,1,44.123,15.212,3
999,Point,,BF-36,44.012,-124.113,1
100,Point,,3,43.977,9.221,1
105,Point,,8,43.933,13.967,1
83,Point,,10,43.923,12.6,1
105,Point,,9,43.917,12.883,1
105,Point,,10,43.917,12.883,1
105,Point,,11,43.917,12.883,1
105,Point,,12,43.917,12.883,1
109,Point,,16,43.884,8.099,2
105,Point,,14,43.883,12.967,1
105,Point,,13,43.867,13,1
999,Point,,BF-210,43.853,-124.16,1
100,Point,,2,43.847,9.106,1
105,Point,,6,43.817,13.05,1
105,Point,,7,43.817,13.05,1
999,Point,,BF-215,43.816,-124.168,1
999,Point,,BF-216,43.816,-124.168,1
109,Point,,15,43.772,7.45,2
83,Point,,11,43.726,12.835,1
100,Point,,5,43.705,9.682,1
207,Point,,11,43.704,157.336,1
999,Point,,BF-199,43.691,-124.2,1
201,Point,,44,43.684,-127.628,2
999,Point,,BF-545,43.669,-124.207,1
999,Point,,BF-537,43.658,-124.21,1
109,Point,,13,43.631,7.101,2
87,Point,,10,43.63,-5.81,1
114,Point,,16,43.62,-134.657,1
87,Point,,9,43.6,-5.92,1
87,Point,,8,43.59,-5.94,1
87,Point,,7,43.58,-5.95,1
87,Point,,5,43.57,-6.29,1
87,Point,,6,43.57,-6.04,1
87,Point,,11,43.57,-5.72,1
87,Point,,4,43.56,-6.62,1
87,Point,,2,43.55,-6.99,1
87,Point,,3,43.55,-6.72,1
87,Point,,1,43.54,-7.02,2
207,Point,,10,43.531,157.336,1
87,Point,,12,43.53,-5.38,1
201,Point,,40,43.518,-124.545,2
999,Point,,BF-526,43.495,-124.259,1
87,Point,,13,43.47,-5.07,1
109,Point,,14,43.462,7.6,2
999,Point,,BF-28,43.454,-124.278,1
87,Point,,14,43.43,-4.78,1
999,Point,,BF-50,43.415,-124.28,1
999,Point,,BF-51,43.415,-124.28,1
999,Point,,BF-52,43.415,-124.28,1
87,Point,,15,43.41,-4.71,1
999,Point,,BF-82,43.4,-124.3,1
999,Point,,BF-165,43.4,-124.1,1
100,Point,,6,43.382,9.465,1
201,Point,,43,43.352,-127.549,2
999,Point,,BF-207,43.345,-124.324,1
